#{"t_start": 1700553659.4535732, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-707.148768,58,394.073132
-1240.583575,95,394.483626
-775.329287,67,395.106204
-1180.580587,100,395.572344
-1209.498947,94,396.260497
-802.200147,67,396.8608
-1285.086988,103,397.332553
-872.840279,79,397.989646
-1154.969134,102,398.509574
-717.328773,60,399.121988
-961.604241,80,399.512223
-767.693936,61,400.006103
-850.453171,75,400.412723
-846.268019,86,400.909603
-884.033427,73,401.481796
-811.016601,68,401.95928
-1332.244606,108,402.518437
-883.502617,75,403.307763
-743.947843,62,403.831144
-975.375871,90,404.290354
-1130.482223,94,404.878911
-782.275172,70,405.492384
-1322.708218,110,405.975919
-768.662155,66,406.670601
-832.383512,67,407.143125
-1235.458722,101,407.600416
-934.953086,80,408.291717
-872.887766,80,408.822103
-755.853128,57,409.350061
-794.377165,84,409.762626
-884.416637,76,410.318796
-752.40498,64,410.885557
-1000.041705,86,411.308515
-1079.694034,87,411.878175
-753.42183,85,412.416017
-805.710422,64,412.928789
-1568.43546,121,413.360272
-1472.600442,121,414.159356
-1131.207498,91,414.936615
-1122.228808,96,415.537615
-723.597117,59,416.145407
-796.986836,65,416.523945
-1829.367227,133,417.003213
-989.805003,90,417.787755
-2123.197271,145,418.459954
-1091.506419,87,419.406162
-787.472532,60,419.955058
-870.124216,78,420.411799
-1149.777597,98,420.944254
-1296.334979,98,421.676668
-902.384019,99,422.402437
-1235.038419,95,423.107403
-1922.48107,142,423.773348
-1888.473449,131,424.764865
-905.987244,85,425.60781
-1334.718835,101,426.228202
-791.96945,65,427.252159
-893.588033,74,427.918866
-1266.977098,97,428.809686
-846.277619,72,429.781171
-974.330646,93,430.548589
-1215.68592,93,431.442743
-1261.807733,98,432.351186
-774.149711,66,433.37402
-1002.914863,83,434.017453
-1419.621571,106,434.854699
-1473.513828,117,436.014522
-1135.135994,91,437.275997
-794.167226,68,438.117543
-1270.237952,100,438.797868
-1877.805542,132,439.807653
-799.540185,64,441.00485
-787.726509,61,441.593571
-761.485547,56,442.170064
-2108.861147,142,442.776716
-1392.659375,105,444.132681
-1178.181841,93,445.249827
-769.753719,62,446.08523
-1330.591816,101,446.730089
-1332.345686,100,447.748648
-855.512073,71,448.838087
-848.2981,71,449.594856
-1074.267603,87,450.415078
-682.393116,55,451.305352
-809.765009,70,451.850875
-734.81511,61,452.527544
-1261.502235,102,453.132766
-1490.009936,111,454.126822
-2002.990932,135,455.107709
-1018.396776,88,455.958916
-1532.258887,117,456.541565
-1391.42494,107,457.294992
-1440.837002,117,458.028145
-1248.206933,95,458.798516
-907.653597,78,459.456656
-970.895473,82,459.976552
-734.195818,57,460.477331
-1165.402308,93,460.864219
-1665.885259,121,461.454415
-956.826235,92,462.171461
-1366.738031,103,462.819397
-744.609745,59,463.50173
-1720.544964,127,463.956402
-1206.953104,104,464.795912
-918.757393,81,465.438112
-807.586065,64,466.01984
-1259.98437,98,466.460601
-835.186262,70,467.075983
-849.594764,71,467.548715
-1550.826584,122,468.041979
-710.085236,56,468.794083
-775.714796,60,469.150434
-1339.336586,103,469.59465
-814.675738,70,470.298174
-1220.604157,112,470.814313
-712.889039,57,471.566776
-1341.812682,102,471.98793
-1165.880492,96,472.696883
-1333.595619,110,473.361746
-1076.27044,87,474.104466
-1217.358729,99,474.697067
-1688.551662,124,475.426042
-706.600561,57,476.693847
-1930.798817,135,477.367788
-1379.443193,105,478.621752
-1137.073922,101,479.6242
-1414.40249,121,480.70187
-1080.625718,91,481.940967
-1004.804903,88,482.875206
-1524.798724,118,483.777107
-1168.581601,94,484.906743
-786.148363,65,485.861505
-926.890147,80,486.549722
-1960.30677,136,487.452512
-1868.234409,133,488.889038
-1771.243462,131,490.291337
-733.238949,79,491.624915
-796.455235,79,492.505162
-955.917755,81,493.348541
-728.880705,61,494.194999
-771.021641,61,494.821596
-1086.095906,101,495.643623
-792.833281,61,496.714577
-805.102228,66,497.384506
-810.377098,66,498.028092
-1042.797917,86,498.779058
-1102.36189,90,499.641246
-1663.71482,124,500.578011
-1149.799822,91,501.821968
-1083.150789,88,502.792654
-921.283661,79,503.639365
-720.695819,60,504.471709
-830.949011,71,505.117389
-1019.565248,87,505.865773
-1245.114491,98,506.748153
-1165.490848,95,507.780162
-767.884798,61,508.707831
-921.022088,78,509.360203
-1093.324049,90,510.099212
-819.644722,66,510.940756
-774.493446,60,511.587204
-1081.332814,89,512.145601
-1647.681344,163,513.044905
-1055.028473,94,514.795173
-732.530591,59,515.688151
-753.706091,62,516.356244
-757.414082,58,517.030209
-700.040313,58,517.663664
-778.927331,60,518.252881
-1608.143577,120,518.992485
-823.439602,87,520.285527
-861.255873,92,521.171732
-869.608463,73,522.121362
-910.073112,80,522.85236
-1375.366838,100,523.679377
-1397.616751,104,524.770062
-1290.314192,106,525.908587
-1185.765352,94,527.090012
-893.99785,84,528.017547
-899.580596,77,528.872304
-1323.99862,105,529.770558
-1606.729431,122,530.90627
-1295.533505,96,531.815957
-762.519625,61,532.437191
-753.955011,61,532.845087
-1845.506483,129,533.278411
-1059.065792,86,534.112277
-1392.004148,105,534.704573
-996.807427,83,535.377037
-808.36022,72,535.92076
-1051.057725,86,536.415124
-734.506717,58,536.980728
-739.488256,56,537.392419
-835.15892,83,537.804142
-1175.93591,105,538.42573
-1124.049411,89,539.167101
-901.398833,86,539.830597
-712.657133,58,540.478666
-806.834355,64,540.959716
-1375.156915,106,541.476155
-902.339747,77,542.185957
-955.393637,104,542.696687
