datetime,symbol,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote_volume
2026-03-01 03:00:00,BTCUSDT,67620.65,67813.33,67400.0,67502.16,637.99716,43121410.1606624,169341,298.67476,20191065.0665455
2026-03-01 04:00:00,BTCUSDT,67502.16,67612.14,67079.36,67346.5,631.60541,42519575.5040446,135372,261.03313,17570640.6294203
2026-03-01 05:00:00,BTCUSDT,67346.5,67574.65,67200.0,67292.09,437.89406,29525060.4947155,106422,212.55241,14331212.101264
2026-03-01 06:00:00,BTCUSDT,67292.08,67345.8,66749.35,66926.68,1159.96329,77705015.278952,151457,474.15445,31765848.9143301
2026-03-01 07:00:00,BTCUSDT,66926.69,67235.72,66784.58,67141.39,937.93278,62919705.9290609,118317,491.73358,32982031.5557483
2026-03-01 08:00:00,BTCUSDT,67141.4,67292.3,66389.33,66560.14,1475.81311,98529048.3395499,214840,381.01048,25485843.2601689
2026-03-01 09:00:00,BTCUSDT,66560.14,66771.1,66246.95,66410.08,815.73368,54247848.6586604,263885,372.03993,24741013.2446076
2026-03-01 10:00:00,BTCUSDT,66410.09,66731.47,66215.71,66467.06,621.17753,41300697.7144149,171523,361.133,24014426.4982667
2026-03-01 11:00:00,BTCUSDT,66467.07,66661.61,66372.27,66468.03,338.19615,22491257.9479955,96844,176.37133,11731300.6931366
2026-03-01 12:00:00,BTCUSDT,66468.04,66550.0,66241.97,66296.48,388.82935,25829283.0339094,118538,210.85385,14009629.5613687
2026-03-01 13:00:00,BTCUSDT,66296.48,67360.57,66132.27,66934.79,1311.02111,87608503.262535,297279,701.5774,46919088.2002688
2026-03-01 14:00:00,BTCUSDT,66934.8,67320.19,66752.58,66847.8,911.62631,61042094.2556565,338803,465.29871,31173781.3739263
2026-03-01 15:00:00,BTCUSDT,66847.8,67243.69,66828.6,66842.42,1028.55576,69002328.9113976,222798,606.52153,40679415.4993612
2026-03-01 16:00:00,BTCUSDT,66842.42,67112.37,65730.28,66135.45,1500.74296,99766384.5092212,330626,659.11423,43887446.6750945
2026-03-01 17:00:00,BTCUSDT,66135.45,66219.77,65699.98,65979.61,952.1973,62838531.0553748,254671,421.71538,27834795.2032451
2026-03-01 18:00:00,BTCUSDT,65979.61,66657.44,65979.61,66316.83,906.08265,60132822.6510922,170597,526.66111,34951018.5919138
2026-03-01 19:00:00,BTCUSDT,66316.84,66345.95,65772.29,65962.17,541.15631,35736876.9648154,128244,244.35122,16138690.2781539
2026-03-01 20:00:00,BTCUSDT,65962.16,65962.16,65084.02,65300.0,961.21349,62863578.4555896,265153,447.74648,29269497.5586031
2026-03-01 21:00:00,BTCUSDT,65300.01,65756.5,65281.83,65666.2,996.50526,65304755.1816099,151136,484.75362,31771829.1311726
2026-03-01 22:00:00,BTCUSDT,65666.19,66491.43,65056.0,65268.71,1763.29476,115821632.1689529,328553,861.74246,56632245.4832955
2026-03-01 23:00:00,BTCUSDT,65268.71,66080.0,65125.67,65776.47,831.95524,54665594.9003881,312584,406.72074,26719879.0916616
